t ax ay az wx wy wz
0.0600 0.8628644 9.3592248 -1.4821791 -0.0599560 -0.0040498 0.0587558
0.0800 1.9558050 9.3423493 -1.4187709 -0.0443913 -0.0051756 0.0475256
0.1000 3.0454268 9.3259989 -1.3542791 -0.0290169 -0.0064503 0.0362055
0.1200 4.1306571 9.3100773 -1.2893446 -0.0138265 -0.0078723 0.0247932
0.1400 5.2087488 9.2947601 -1.2236020 0.0011867 -0.0094395 0.0132860
0.1600 6.2783283 9.2800060 -1.1573497 0.0160304 -0.0111499 0.0016812
0.1800 7.3380054 9.2657752 -1.0909914 0.0307131 -0.0130010 -0.0100240
0.2000 8.3849726 9.2522562 -1.0242024 0.0452439 -0.0149901 -0.0218327
0.2200 9.4181441 9.2393723 -0.9572815 0.0596328 -0.0171140 -0.0337482
0.2400 10.4354690 9.2271950 -0.8903731 0.0738902 -0.0193697 -0.0457737
0.2600 11.4356713 9.2156861 -0.8236205 0.0880273 -0.0217535 -0.0579127
0.2800 12.4165365 9.2049508 -0.7570751 0.1020557 -0.0242617 -0.0701688
0.3000 13.3765706 9.1949942 -0.6907735 0.1159877 -0.0268902 -0.0825457
0.3200 14.3144107 9.1858001 -0.6250016 0.1298359 -0.0296349 -0.0950474
0.3400 15.2283272 9.1774172 -0.5598215 0.1436134 -0.0324913 -0.1076776
0.3600 16.1164749 9.1699245 -0.4950025 0.1573337 -0.0354546 -0.1204404
0.3800 16.9786654 9.1631347 -0.4314562 0.1710106 -0.0385201 -0.1333399
0.4000 17.8120801 9.1572956 -0.3684036 0.1846582 -0.0416827 -0.1463802
0.4200 18.6159775 9.1523229 -0.3064095 0.1982906 -0.0449371 -0.1595655
0.4400 19.3895679 9.1481592 -0.2455703 0.2119225 -0.0482781 -0.1729001
0.4600 20.1309185 9.1449235 -0.1858601 0.2255682 -0.0516999 -0.1863881
0.4800 20.8396541 9.1425100 -0.1274874 0.2392424 -0.0551971 -0.2000340
0.5000 21.5139337 9.1410434 -0.0703101 0.2529597 -0.0587639 -0.2138419
0.5200 22.1537133 9.1403772 -0.0148322 0.2667344 -0.0623942 -0.2278161
0.5400 22.7572758 9.1406420 0.0393557 0.2805810 -0.0660822 -0.2419608
0.5600 23.3245689 9.1417091 0.0917253 0.2945137 -0.0698219 -0.2562802
0.5800 23.8538638 9.1437274 0.1426810 0.3085463 -0.0736070 -0.2707783
0.6000 24.3457798 9.1464845 0.1915443 0.3226924 -0.0774315 -0.2854592
0.6200 24.7990752 9.1500782 0.2387533 0.3369652 -0.0812891 -0.3003269
0.6400 25.2127020 9.1545700 0.2841634 0.3513777 -0.0851737 -0.3153850
0.6600 25.5877071 9.1597229 0.3274109 0.3659420 -0.0890791 -0.3306373
0.6800 25.9224769 9.1657106 0.3687632 0.3806699 -0.0929992 -0.3460874
0.7000 26.2172440 9.1724398 0.4081222 0.3955727 -0.0969277 -0.3617385
0.7200 26.4721284 9.1798404 0.4453005 0.4106608 -0.1008586 -0.3775939
0.7400 26.6866796 9.1879413 0.4803663 0.4259440 -0.1047859 -0.3936565
0.7600 26.8609051 9.1967133 0.5133336 0.4414315 -0.1087037 -0.4099292
0.7800 26.9952126 9.2060748 0.5440614 0.4571314 -0.1126062 -0.4264144
0.8000 27.0900069 9.2159536 0.5723857 0.4730512 -0.1164875 -0.4431145
0.8200 27.1443575 9.2265007 0.5989006 0.4891972 -0.1203422 -0.4600314
0.8400 27.1600530 9.2374451 0.6228076 0.5055752 -0.1241648 -0.4771669
0.8600 27.1368279 9.2488559 0.6445222 0.5221896 -0.1279500 -0.4945225
0.8800 27.0749476 9.2607273 0.6641903 0.5390440 -0.1316928 -0.5120992
0.9000 26.9758684 9.2728684 0.6811841 0.5561408 -0.1353881 -0.5298978
