t lat lon h Vxg Vyg Vzg pitch roll tHdg
0.0600 37.6168137 -122.3657480 34.3230051 1.4992097 -2.9597419 0.4405985 7.8947323 1.5954586 294.5830520
0.0800 37.6168140 -122.3657479 34.2637095 1.4835472 -2.9647813 0.4191664 7.8956194 1.5945607 294.5832304
0.1000 37.6168143 -122.3657478 34.2043658 1.4780458 -2.9671866 0.3785936 7.8962795 1.5939730 294.5834281
0.1200 37.6168145 -122.3657478 34.1450265 1.4826787 -2.9669611 0.3189640 7.8967106 1.5936921 294.5836481
0.1400 37.6168148 -122.3657477 34.0857443 1.4974025 -2.9641127 0.2404144 7.8969109 1.5937150 294.5838933
0.1600 37.6168151 -122.3657477 34.0265712 1.5221577 -2.9586538 0.1431037 7.8968782 1.5940386 294.5841664
0.1800 37.6168154 -122.3657477 33.9675592 1.5568655 -2.9506016 0.0272123 7.8966105 1.5946601 294.5844704
0.2000 37.6168156 -122.3657477 33.9087596 1.6014303 -2.9399779 -0.1070255 7.8961056 1.5955768 294.5848078
0.2200 37.6168159 -122.3657478 33.8502234 1.6557417 -2.9268089 -0.2593586 7.8953614 1.5967862 294.5851813
0.2400 37.6168162 -122.3657478 33.7920009 1.7196702 -2.9111252 -0.4295001 7.8943755 1.5982861 294.5855936
0.2600 37.6168166 -122.3657480 33.7341417 1.7930729 -2.8929620 -0.6171412 7.8931456 1.6000744 294.5860471
0.2800 37.6168169 -122.3657482 33.6766945 1.8757880 -2.8723586 -0.8219336 7.8916693 1.6021493 294.5865443
0.3000 37.6168173 -122.3657484 33.6197074 1.9676404 -2.8493586 -1.0435021 7.8899441 1.6045092 294.5870874
0.3200 37.6168176 -122.3657487 33.5632272 2.0684390 -2.8240098 -1.2814497 7.8879675 1.6071526 294.5876788
0.3400 37.6168180 -122.3657490 33.5072999 2.1779770 -2.7963639 -1.5353485 7.8857368 1.6100784 294.5883205
0.3600 37.6168184 -122.3657495 33.4519704 2.2960367 -2.7664764 -1.8047352 7.8832493 1.6132858 294.5890147
0.3800 37.6168189 -122.3657499 33.3972822 2.4223827 -2.7344069 -2.0891511 7.8805022 1.6167742 294.5897632
0.4000 37.6168193 -122.3657505 33.3432778 2.5567699 -2.7002183 -2.3880799 7.8774927 1.6205433 294.5905679
0.4200 37.6168198 -122.3657511 33.2899983 2.6989374 -2.6639771 -2.7009965 7.8742177 1.6245929 294.5914305
0.4400 37.6168203 -122.3657518 33.2374832 2.8486158 -2.6257532 -3.0273629 7.8706742 1.6289232 294.5923526
0.4600 37.6168209 -122.3657525 33.1857708 3.0055202 -2.5856196 -3.3666055 7.8668591 1.6335347 294.5933358
0.4800 37.6168214 -122.3657534 33.1348978 3.1693592 -2.5436525 -3.7181460 7.8627693 1.6384282 294.5943813
0.5000 37.6168220 -122.3657543 33.0848992 3.3398285 -2.4999306 -4.0813715 7.8584013 1.6436047 294.5954904
0.5200 37.6168227 -122.3657553 33.0358085 3.5166144 -2.4545357 -4.4556728 7.8537519 1.6490655 294.5966642
0.5400 37.6168233 -122.3657564 32.9876574 3.6993966 -2.4075519 -4.8404061 7.8488175 1.6548121 294.5979037
0.5600 37.6168240 -122.3657576 32.9404761 3.8878446 -2.3590658 -5.2349314 7.8435947 1.6608463 294.5992098
0.5800 37.6168248 -122.3657589 32.8942928 4.0816212 -2.3091657 -5.6385738 7.8380798 1.6671703 294.6005832
0.6000 37.6168255 -122.3657602 32.8491340 4.2803818 -2.2579424 -6.0506757 7.8322691 1.6737863 294.6020244
0.6200 37.6168263 -122.3657617 32.8050242 4.4837798 -2.2054882 -6.4705532 7.8261589 1.6806969 294.6035340
0.6400 37.6168272 -122.3657633 32.7619863 4.6914571 -2.1518969 -6.8975048 7.8197452 1.6879050 294.6051122
0.6600 37.6168281 -122.3657649 32.7200410 4.9030576 -2.0972638 -7.3308513 7.8130243 1.6954136 294.6067593
0.6800 37.6168290 -122.3657667 32.6792073 5.1182169 -2.0416852 -7.7698819 7.8059920 1.7032260 294.6084753
0.7000 37.6168299 -122.3657686 32.6395021 5.3365707 -1.9852585 -8.2138908 7.7986444 1.7113455 294.6102601
0.7200 37.6168309 -122.3657705 32.6009405 5.5577521 -1.9280819 -8.6621765 7.7909773 1.7197759 294.6121136
0.7400 37.6168320 -122.3657726 32.5635354 5.7813920 -1.8702540 -9.1140285 7.7829865 1.7285210 294.6140353
0.7600 37.6168330 -122.3657748 32.5272979 6.0071213 -1.8118738 -9.5687364 7.7746679 1.7375847 294.6160249
0.7800 37.6168342 -122.3657770 32.4922371 6.2345718 -1.7530404 -10.0255986 7.7660172 1.7469713 294.6180817
0.8000 37.6168353 -122.3657794 32.4583600 6.4633757 -1.6938529 -10.4839225 7.7570300 1.7566850 294.6202050
0.8200 37.6168365 -122.3657819 32.4256718 6.6931680 -1.6344101 -10.9429931 7.7477021 1.7667301 294.6223939
0.8400 37.6168378 -122.3657845 32.3941756 6.9235843 -1.5748105 -11.4021354 7.7380289 1.7771111 294.6246476
0.8600 37.6168391 -122.3657872 32.3638726 7.1542651 -1.5151516 -11.8606655 7.7280062 1.7878327 294.6269649
0.8800 37.6168404 -122.3657900 32.3347620 7.3848560 -1.4555304 -12.3179036 7.7176294 1.7988993 294.6293447
0.9000 37.6168418 -122.3657929 32.3068411 7.6150031 -1.3960427 -12.7732014 7.7068942 1.8103157 294.6317856
0.9200 37.6168432 -122.3657959 32.2801055 7.8443634 -1.3367831 -13.2258966 7.6957960 1.8220865 294.6342862
0.9400 37.6168446 -122.3657990 32.2545486 8.0725950 -1.2778447 -13.6753499 7.6843305 1.8342163 294.6368451
0.9600 37.6168461 -122.3658022 32.2301622 8.2993673 -1.2193192 -14.1209518 7.6724931 1.8467097 294.6394606
0.9800 37.6168476 -122.3658055 32.2069363 8.5243518 -1.1612963 -14.5620805 7.6602795 1.8595713 294.6421310
1.0000 37.6168492 -122.3658089 32.1848590 8.7472342 -1.1038641 -14.9981534 7.6476853 1.8728055 294.6448546
1.0200 37.6168508 -122.3658124 32.1639168 8.9677035 -1.0471082 -15.4285967 7.6347060 1.8864168 294.6476294
1.0400 37.6168525 -122.3658160 32.1440946 9.1854602 -0.9911124 -15.8528501 7.6213374 1.9004094 294.6504536
1.0600 37.6168542 -122.3658197 32.1253754 9.4002142 -0.9359578 -16.2703841 7.6075752 1.9147873 294.6533252
1.0800 37.6168559 -122.3658234 32.1077410 9.6116853 -0.8817230 -16.6806780 7.5934152 1.9295546 294.6562420
1.1000 37.6168576 -122.3658273 32.0911713 9.8196041 -0.8284841 -17.0832461 7.5788531 1.9447148 294.6592020
1.1200 37.6168594 -122.3658313 32.0756450 10.0237136 -0.7763143 -17.4776079 7.5638851 1.9602717 294.6622030
1.1400 37.6168613 -122.3658353 32.0611393 10.2237657 -0.7252838 -17.8633216 7.5485069 1.9762282 294.6652426
1.1600 37.6168632 -122.3658395 32.0476301 10.4195257 -0.6754599 -18.2399637 7.5327149 1.9925876 294.6683188
1.1800 37.6168651 -122.3658437 32.0350920 10.6107716 -0.6269067 -18.6071285 7.5165052 2.0093524 294.6714291
1.2000 37.6168670 -122.3658480 32.0234983 10.7972939 -0.5796852 -18.9644449 7.4998741 2.0265250 294.6745713
1.2200 37.6168690 -122.3658524 32.0128212 10.9788942 -0.5338528 -19.3115598 7.4828181 2.0441075 294.6777429
1.2400 37.6168710 -122.3658568 32.0030319 11.1553907 -0.4894638 -19.6481472 7.4653339 2.0621014 294.6809418
1.2600 37.6168730 -122.3658613 31.9941006 11.3266113 -0.4465689 -19.9739153 7.4474182 2.0805081 294.6841654
1.2800 37.6168751 -122.3658659 31.9859963 11.4923999 -0.4052153 -20.2885859 7.4290679 2.0993284 294.6874115
1.3000 37.6168772 -122.3658706 31.9786873 11.6526145 -0.3654466 -20.5919170 7.4102801 2.1185627 294.6906778
1.3200 37.6168793 -122.3658753 31.9721413 11.8071246 -0.3273027 -20.8836915 7.3910521 2.1382110 294.6939618
1.3400 37.6168814 -122.3658801 31.9663249 11.9558152 -0.2908201 -21.1637157 7.3713814 2.1582728 294.6972613
1.3600 37.6168836 -122.3658850 31.9612042 12.0985862 -0.2560313 -21.4318306 7.3512657 2.1787470 294.7005741
1.3800 37.6168858 -122.3658899 31.9567449 12.2353501 -0.2229653 -21.6878902 7.3307028 2.1996321 294.7038978
1.4000 37.6168880 -122.3658949 31.9529120 12.3660341 -0.1916473 -21.9317936 7.3096908 2.2209262 294.7072304
1.4200 37.6168903 -122.3658999 31.9496700 12.4905791 -0.1620987 -22.1634517 7.2882282 2.2426264 294.7105697
1.4400 37.6168925 -122.3659050 31.9469833 12.6089410 -0.1343374 -22.3828122 7.2663134 2.2647298 294.7139137
1.4600 37.6168948 -122.3659101 31.9448157 12.7210883 -0.1083775 -22.5898436 7.2439455 2.2872326 294.7172603
1.4800 37.6168971 -122.3659153 31.9431311 12.8270036 -0.0842295 -22.7845463 7.2211234 2.3101303 294.7206077
1.5000 37.6168994 -122.3659205 31.9418931 12.9266837 -0.0619000 -22.9669286 7.1978467 2.3334182 294.7239539
1.5200 37.6169018 -122.3659257 31.9410653 13.0201373 -0.0413924 -23.1370526 7.1741150 2.3570905 294.7272973
1.5400 37.6169041 -122.3659310 31.9406112 13.1073882 -0.0227063 -23.2949842 7.1499282 2.3811411 294.7306362
